Biome,potveg,D50,D95,D99,Dmax,D95_SJ
TropEver,1,0.201,1.770,3.000,6.4500,0.9100
TropDecid,2,0.194,1.190,2.000,3.7000,0.9500
TempEver,3,0.175,1.070,1.800,3.8842,1.2100
TempDecid,4,0.194,1.190,2.000,2.9095,1.0400
Boreal,5,0.120,0.580,1.193,1.9875,0.5800
MixedFor,6,0.248,1.430,2.400,3.3969,0.8833
Savanna,7,0.172,1.416,2.400,14.9600,1.3633
GrassSteppe,8,0.122,0.890,1.500,2.4651,1.0550
DenseShrub,9,0.205,1.470,2.500,5.4038,1.7100
OpenShrub,10,0.197,1.830,3.100,3.7111,1.3100
Tundra,11,0.078,0.335,0.500,0.4875,0.2900
Desert,12,0.309,2.360,4.000,8.6370,1.1200
Permafrost,13,0.1,0.2,0.3,0.5,0.29
