VALUE,CLASSNAMES,D99,D95,D50,Color
1,"Tree Cover, broadleaved, evergreen",3,1.77,0.201,darkgreen
2,"Tree Cover, broadleaved, deciduous, closed",2,1.19,0.194,green2
3,"Tree Cover, broadleaved, deciduous, open",1.7,1.004,0.157,red2
4,"Tree Cover, needle-leaved, evergreen",1.8,1.07,0.175,darkblue
5,Boreal,2,1.18,0.176,darkorange
6,"Tree Cover, mixed leaf type",2.4,1.43,0.248,deeppink
7,"Tree Cover, regularly flooded, fresh water",NA,NA,NA,white
8,"Tree Cover, regularly flooded, saline water",NA,NA,NA,white
10,"Tree Cover, burnt",0,0,0,brown
11,"Shrub Cover, closed-open, evergreen",2.5,1.47,0.205,cyan1
12,"Shrub Cover, closed-open, deciduous",3.1,1.83,0.197,orange
13,"Herbaceous Cover, closed-open",1.5,0.89,0.122,magenta
14,Sparse herbaceous or sparse shrub cover,2.4,1.416,0.172,goldenrod
15,Regularly flooded shrub and/or herbaceous cover,NA,NA,NA,white
16,Cultivated and managed areas,1.5,0.907,0.178,firebrick2
17,Mosaic: Cropland / Tree Cover / Other natural vege,1.5,0.907,0.178,firebrick2
18,Mosaic: Cropland / Shrub and/or grass cover,1.5,0.907,0.178,firebrick2
19,Bare Areas,0,0,0,grey
20,Water Bodies,NA,NA,NA,white
21,Snow and Ice,0,0,0,white
22,Artificial surfaces and associated areas,0,0,0,black
23,No data,NA,NA,NA,white
24,Permafrost,0.3,0.2,0.1,skyblue
